District,HotelCount,RoomCount
中山區,137,9725
中正區,110,8353
信義區,20,2539
內湖區,6,538
北投區,35,1720
南港區,12,1786
士林區,24,1299
大同區,62,2806
大安區,51,4462
文山區,5,133
松山區,39,2899
萬華區,119,5460
